Rank,Movie Name,Release Year,Rating,Genre,Director,Stars,Votes,Gross,Length of Movie
1.,The Shawshank Redemption,(1994),9.3,"
Crime, Drama            ",Frank Darabont,"Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler","1,957,828","1,957,828",142 min
2.,The Godfather,(1972),9.2,"
Crime, Drama            ",Francis Ford Coppola,"Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton","1,340,300","1,340,300",175 min
3.,The Dark Knight,(2008),9.0,"
Action, Crime, Drama            ",Christopher Nolan,"Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine","1,930,040","1,930,040",152 min
4.,The Godfather: Part II,(1974),9.0,"
Crime, Drama            ",Francis Ford Coppola,"Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton","927,330","927,330",202 min
5.,Pulp Fiction,(1994),8.9,"
Crime, Drama            ",Quentin Tarantino,"Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis","1,531,225","1,531,225",154 min
6.,The Lord of the Rings: The Return of the King,(2003),8.9,"
Adventure, Drama, Fantasy            ",Peter Jackson,"Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom","1,397,662","1,397,662",201 min
7.,Schindler's List,(1993),8.9,"
Biography, Drama, History            ",Steven Spielberg,"Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall","1,010,039","1,010,039",195 min
8.,"Il buono, il brutto, il cattivo",(1966),8.9,"
Western            ",Sergio Leone,"Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè","581,341","581,341",161 min
9.,12 Angry Men,(1957),8.9,"
Crime, Drama            ",Sidney Lumet,"Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler","544,827","544,827",96 min
10.,Avengers: Infinity War,(2018),8.8,"
Action, Adventure, Fantasy            ",Anthony Russo,"Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans","358,621","358,621",149 min
11.,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"
Adventure, Drama, Fantasy            ",Peter Jackson,"Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean","1,415,217","1,415,217",178 min
12.,Inception,(2010),8.8,"
Action, Adventure, Sci-Fi            ",Christopher Nolan,"Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe","1,714,363","1,714,363",148 min
13.,Fight Club,(1999),8.8,"
Drama            ",David Fincher,"David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier","1,569,671","1,569,671",139 min
14.,Forrest Gump,(1994),8.8,"
Drama, Romance            ",Robert Zemeckis,"Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field","1,487,047","1,487,047",142 min
15.,Star Wars: Episode V - The Empire Strikes Back,(1980),8.8,"
Action, Adventure, Fantasy            ",Irvin Kershner,"Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams","985,817","985,817",124 min
16.,The Matrix,(1999),8.7,"
Action, Sci-Fi            ",Lana Wachowski,"Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving","1,407,396","1,407,396",136 min
